,Company,Profile
0,Inito,JRS Biotechnology
1,AlphaGrep Securities,Quantitative Trading Analyst
2,AlphaGrep Securities,Software Developer
3,Cohesity,Member of Technical Staff
4,Cohesity,Member of Technical Staff
5,DMI Finance,AM - Analytics
6,DMI Finance,Data Scientist
7,Inito,Software Developer
8,OPPO India R&D Center,Software Engineer Level - 3 - Developer
9,Samplytics Technologies Private Limited,INITO
10,Samplytics Technologies Private Limited,INITO
11,Sony Group Corporation,JAF1 : XR System Engineer
12,Sony Group Corporation,JAF10 : GPU Software Engineer for Low Level Component and Tools for PlayStation
13,Sony Group Corporation,JAF11 : Software testing engineer
14,Sony Group Corporation,JAF12 : Image Sensor device/pixel Research&Development
15,Sony Group Corporation,JAF2 : Software and Hardware engineer for Robotics Platform
16,Sony Group Corporation,"JAF3 : Visual Recognition Computation Systems and Architecture, Research Engineer"
17,Sony Group Corporation,"JAF4 : Software Engineer, Parallel Programming and Machine Learning"
18,Sony Group Corporation,JAF5 : R&D Engineer of Privacy Computing Technology
19,Sony Group Corporation,"JAF6 : Deep Learning, Researcher/Research Engineer/Software Engineer"
20,Sony Group Corporation,"JAF7 : Software Engineer, Embedded Linux software development"
21,Sony Group Corporation,"JAF8 : PlayStation Network Software Systems Engineer, Production Operations Engineer"
22,Sony Group Corporation,JAF9 : Platform Engineer for PlayStation Network
23,Elevation Capital,Investment Associate
24,Vantage Research,Scientist-Modeling and Simulation
25,Vantage Research,Senior Scientist - Modeling and Simulation
26,TVS Motor company limited,Design Engineer - EEE
27,TVS Motor company limited,Design Engineer - Mech
28,TVS Motor company limited,Hardware Design Engineer
29,TVS Motor company limited,Software Engineer
30,TVS Motor company limited,Software Engineer
31,TVS Motor company limited,Software Engineer
32,Silicon Labs,Associate Engineer
33,Silicon Labs,Associate Engineer
34,Silicon Labs,Engineer I - IC Design
35,Silicon Labs,Engineer I - IC Design
36,Birla Fertility and IVF,Management Trainee
37,GroMo,Vitrak Technologies Pvt Ltd
38,Rivos Inc.,"Physical Design, CPU or SOC - Full time"
39,Rivos Inc.,"Physical Design, CPU or SOC - Full time"
40,Rivos Inc.,"Physical Design, SOC or CPU - Full time"
41,Rivos Inc.,Silicon Verification - Full-time -
42,Rivos Inc.,Silicon Verification - Full-time
