Ticker,Length,Start Date,End Date,Highest,Lowest,Last Price
ABB,5064.0,2002-07-01,2022-12-23,3445.64990234375,38.36115579118788,2720.89990234375
ABBOTINDIA,5687.0,2000-01-03,2022-12-23,23600.65215089997,183.97036554079887,21862.0
ABCAPITAL,1314.0,2017-09-01,2022-12-23,264.0,37.45000076293945,144.60000610351562
ABFRL,2327.0,2013-07-17,2022-12-23,359.3999938964844,73.5,289.1000061035156
ACC,5655.0,2000-01-03,2022-12-23,2784.949951171875,49.11515518206728,2451.64990234375
ADANIENT,5093.0,2002-07-01,2022-12-23,4189.5498046875,-0.0123627458514182,3751.0
ADANIPORTS,3716.0,2007-11-27,2022-12-23,987.9000244140624,46.11711535672792,821.2999877929688
ADANITRANS,1827.0,2015-07-31,2022-12-23,4238.5498046875,25.299999237060547,2378.64990234375
ALKEM,1731.0,2015-12-23,2022-12-23,4027.8405774216976,1114.1015409682552,3043.39990234375
AMBUJACEM,5743.0,2000-01-03,2022-12-23,598.1500244140625,0.0084888384767886,520.0999755859375
APOLLOHOSP,5548.0,2000-07-18,2022-12-23,5914.497517555546,22.72371552051212,4743.89990234375
ASHOKLEY,5093.0,2002-07-01,2022-12-23,169.39999389648438,0.8770400108117737,138.25
ASIANPAINT,5488.0,2000-01-03,2022-12-23,3584.826913578306,14.95439672851422,3058.050048828125
ASTRAL,3889.0,2007-03-20,2022-12-23,2652.240384780147,2.3729103862239285,1910.300048828125
AUBANK,1350.0,2017-07-11,2022-12-23,1464.539982498418,365.8851939791363,647.9500122070312
AUROPHARMA,6920.0,1995-04-11,2022-12-23,1047.792579716955,0.4601024091243744,445.5499877929688
AXISBANK,6029.0,1998-11-27,2022-12-23,958.9000244140624,1.6333131815638953,911.2000122070312
BAJAJ-AUTO,3596.0,2008-05-26,2022-12-23,4130.14990234375,102.5173197626102,3546.800048828125
BAJAJFINSV,5743.0,2000-01-03,2022-12-23,19319.254105098626,86.90148109405224,1510.6500244140625
BAJAJHLDNG,5680.0,2000-01-03,2022-12-23,7260.605771584099,34.711216016883625,5924.5498046875
BAJFINANCE,5635.0,2000-03-10,2022-12-23,8014.306466232464,1.8638939719034653,6379.10009765625
BALKRISIND,5219.0,2002-01-03,2022-12-23,2687.734181487949,0.548606812953949,2095.050048828125
BANKBARODA,5674.0,2000-01-03,2022-12-23,215.6812383986137,3.719853156161681,170.8000030517578
BANKINDIA,5674.0,2000-01-03,2022-12-23,498.02743633204574,4.875117301940918,78.8499984741211
BATAINDIA,5743.0,2000-01-03,2022-12-23,2203.9401537360386,10.299543242426624,1628.6500244140625
BEL,5664.0,2000-01-03,2022-12-23,329.70001220703125,1.1130643280557937,97.25
BERGEPAINT,5093.0,2002-07-01,2022-12-23,865.1834573793091,0.1457453656666724,578.3499755859375
BHARATFORG,7093.0,1992-01-10,2022-12-23,919.5,0.0046902326636102,829.6500244140625
BHARTIARTL,5186.0,2002-02-20,2022-12-23,877.0999755859375,8.927037699113576,811.0
BHEL,6913.0,1995-05-11,2022-12-23,312.7571896361071,3.4433088302612305,75.4000015258789
BIOCON,4631.0,2004-04-07,2022-12-23,486.91414532321903,12.984419786557597,271.1000061035156
BOSCHLTD,5093.0,2002-07-01,2022-12-23,26227.945435980502,239.2924035580171,16950.0
BPCL,6541.0,1996-10-29,2022-12-23,448.5398058811351,4.006436724065963,323.3999938964844
CANBK,4968.0,2002-12-23,2022-12-23,679.3118253939755,25.029591121609258,296.8500061035156
CHOLAFIN,5663.0,2000-01-03,2022-12-23,817.9500122070312,2.6782668883645733,695.2000122070312
CIPLA,6941.0,1995-05-11,2022-12-23,1185.199951171875,6.643313046136827,1128.949951171875
COALINDIA,2993.0,2010-11-04,2022-12-23,247.32304842438964,82.4886167500531,217.6499938964844
COLPAL,7143.0,1991-01-04,2022-12-23,1757.4533343983237,32.34853683814388,1581.3499755859375
CONCOR,5180.0,2002-01-11,2022-12-23,825.111493526928,0.0028436772661164,725.25
COROMANDEL,5458.0,2001-02-05,2022-12-23,1094.4000244140625,0.1304333806037902,859.6500244140625
CROMPTON,1637.0,2016-05-13,2022-12-23,508.5287852615434,119.78835863179248,344.0
CUMMINSIND,5488.0,2000-11-21,2022-12-23,1551.050048828125,18.27815582746451,1395.0
DABUR,5498.0,2000-12-01,2022-12-23,649.9551361412219,3.333491430638749,565.5
DEEPAKNTR,3019.0,2010-09-29,2022-12-23,3008.358452753001,11.845523052615007,1918.0
DIVISLAB,4911.0,2003-03-12,2022-12-23,5383.7520452880935,6.48322902338708,3533.800048828125
DIXON,1303.0,2017-09-18,2022-12-23,6236.754407068807,829.5726189021645,3763.949951171875
DLF,3816.0,2007-07-05,2022-12-23,1060.8200709025066,0.0091541178494836,365.4500122070313
DRREDDY,7753.0,1992-03-04,2022-12-23,5487.699090094688,21.3920955657959,4327.9501953125
EICHERMOT,7654.0,1992-09-04,2022-12-23,3886.0,0.4123058021068573,3137.0
EMAMILTD,5093.0,2002-07-01,2022-12-23,653.7535469133787,0.0045085377136336,413.3999938964844
ESCORTS,7115.0,1991-01-04,2022-12-23,2358.75,27.512477163073022,2052.050048828125
FEDERALBNK,6941.0,1995-05-11,2022-12-23,142.25,0.4267915452021277,123.3499984741211
FORTIS,3857.0,2007-05-09,2022-12-23,324.79998779296875,45.0,276.79998779296875
GAIL,6428.0,1997-05-19,2022-12-23,201.1690727066349,3.973229677193623,91.8499984741211
GODREJCP,5093.0,2002-07-01,2022-12-23,1138.5,4.91647166768078,871.9000244140625
GODREJPROP,3203.0,2010-01-05,2022-12-23,2598.0,151.48036914433158,1198.800048828125
GRASIM,5662.0,2000-01-03,2022-12-23,1932.981573930904,20.27003602151965,1716.6500244140625
GSPL,4158.0,2006-02-16,2022-12-23,377.65563246964064,21.741917410205016,251.0500030517578
GUJGASLTD,1795.0,2015-09-15,2022-12-23,780.5510299073454,87.22041439143358,476.4500122070313
HAVELLS,5065.0,2002-07-01,2022-12-23,1494.0127047898757,0.009261171001773,1100.199951171875
HCLTECH,5743.0,2000-01-03,2022-12-23,1304.3461134095355,0.0042392500361662,1032.0
HDFC,5546.0,2000-01-03,2022-12-23,2982.7985937733106,18.286286395971764,2609.64990234375
HDFCLIFE,1261.0,2017-11-17,2022-12-23,773.4807062801394,303.4494871486685,573.75
HEROMOTOCO,5388.0,2001-04-06,2022-12-23,3539.0072733530337,66.3637924194336,2650.0
HINDALCO,7146.0,1991-01-04,2022-12-23,630.2188327988807,9.130126953125,440.2999877929688
HINDPETRO,6914.0,1995-05-11,2022-12-23,342.201038166896,6.069469235381532,225.1999969482422
HINDUNILVR,7144.0,1991-01-04,2022-12-23,2773.2664557230432,7.693436145782471,2629.0
HINDZINC,6942.0,1995-05-04,2022-12-23,343.1659138123804,0.132665166957997,311.95001220703125
HONAUT,5591.0,2000-06-28,2022-12-23,49590.8572369913,83.21173095703125,40797.30078125
ICICIBANK,5657.0,2000-01-03,2022-12-23,958.0,8.271085525389859,886.5999755859375
ICICIGI,1296.0,2017-09-27,2022-12-23,1655.9365523838924,601.5732915279447,1217.1500244140625
ICICIPRULI,1541.0,2016-09-30,2022-12-23,723.741070910108,220.962924164404,442.5
IDEA,3896.0,2007-03-09,2022-12-23,121.77739443397208,2.609999895095825,7.809999942779541
IEX,1279.0,2017-10-24,2022-12-23,946.3912725069314,109.40530933715424,134.3000030517578
IGL,4704.0,2003-12-26,2022-12-23,592.6085920818014,8.23320462147103,408.6000061035156
INDHOTEL,5301.0,2001-09-12,2022-12-23,348.70001220703125,0.0091541933162467,297.04998779296875
INDIANB,3902.0,2007-03-01,2022-12-23,397.80954251211386,0.0087754172632854,261.79998779296875
INDIGO,1759.0,2015-11-10,2022-12-23,2379.0,665.4631279205607,1895.25
INDUSINDBK,5213.0,2002-01-14,2022-12-23,2001.0904909104288,7.353926886509576,1164.0
BRITANNIA,7156.0,1991-01-04,2022-12-23,4535.0,5.484642028808594,4348.60009765625
DMART,1426.0,2017-03-21,2022-12-23,5899.89990234375,558.75,3853.0
HDFCBANK,6939.0,1995-06-01,2022-12-23,1704.474567332786,5.2888053072612005,1591.0
PRESTIGE,2999.0,2010-10-27,2022-12-23,551.5919067806677,53.459219056442215,439.9500122070313
TATAELXSI,5683.0,2000-01-03,2022-12-23,10760.400390625,9.85674262019804,5860.0
INFY,6941.0,1995-05-11,2022-12-23,1912.329679227437,0.6143736243247986,1499.0
IOC,6889.0,1995-08-11,2022-12-23,297.76832185840976,0.0017849040180991,73.80000305175781
IPCALAB,6951.0,1994-05-12,2022-12-23,2749.055453573608,4.991623920417937,867.75
ITC,7143.0,1991-01-04,2022-12-23,361.8999938964844,0.704132080078125,328.3500061035156
JINDALSTEL,5728.0,2000-01-24,2022-12-23,760.2331584804664,1.6020474768054656,528.0
JSWENERGY,3204.0,2010-01-04,2022-12-23,405.8238681828316,28.56745643873688,258.0
JSWSTEEL,5743.0,2000-01-03,2022-12-23,762.4500122070312,0.0008452743330623,729.2000122070312
JUBLFOOD,3180.0,2010-02-08,2022-12-23,4567.828662946274,80.36639014859358,511.1000061035156
KOTAKBANK,6733.0,1996-03-18,2022-12-23,2251.094059500352,0.5329274007768163,1822.5
LALPATHLAB,1731.0,2015-12-23,2022-12-23,4219.7640006440815,667.8395775987694,2371.550048828125
LAURUSLABS,1488.0,2016-12-20,2022-12-23,719.5676504897937,58.01629293678681,390.1000061035156
LICHSGFIN,5671.0,2000-01-03,2022-12-23,690.2256292415966,2.3621574185871315,397.2000122070313
LINDEINDIA,7268.0,1992-01-28,2022-12-23,4164.700657738995,0.0096926839999271,3513.949951171875
LT,7140.0,1991-01-04,2022-12-23,2210.5,12.312639236450195,2073.25
LTFH,2800.0,2011-08-12,2022-12-23,205.8517479121533,36.58532850477327,84.1500015258789
LTTS,1546.0,2016-09-23,2022-12-23,5890.766049166768,626.5813814586454,3769.75
LUPIN,6733.0,1996-03-18,2022-12-23,2039.774020802446,5.011697132725198,768.0999755859375
MARICO,6698.0,1996-05-02,2022-12-23,595.2240377078954,1.0938239097595217,516.9000244140625
MARUTI,4826.0,2003-07-09,2022-12-23,9768.650390625,136.7693545754597,8206.9501953125
MCDOWELL-N,5090.0,2002-07-01,2022-12-23,1019.9500122070312,6.036653648987415,879.1500244140625
MFSL,6733.0,1996-03-18,2022-12-23,1147.9000244140625,0.0099180267078388,681.75
MM,7144.0,1991-01-04,2022-12-23,1366.300048828125,3.2068078517913814,1211.300048828125
MMFIN,4138.0,2006-03-17,2022-12-23,505.736103215989,27.10864909102234,219.5500030517578
MPHASIS,5212.0,2002-01-14,2022-12-23,3508.227592318226,22.89590677303828,1932.25
MRF,5682.0,2000-01-03,2022-12-23,98323.14542331784,405.81618919220153,87088.3515625
MUTHOOTFIN,2870.0,2011-05-06,2022-12-23,1696.301669938987,56.0896439824952,1054.5
NATIONALUM,5929.0,1999-04-16,2022-12-23,130.339283577505,1.7203755378723145,73.0999984741211
NAUKRI,3969.0,2006-11-21,2022-12-23,7425.062624258216,93.20544165007922,3927.949951171875
NAVINFLUOR,4767.0,2003-09-30,2022-12-23,4842.017539932811,2.897257302953539,4130.10009765625
NESTLEIND,7126.0,1991-01-04,2022-12-23,20928.508980926803,46.640899658203125,20382.150390625
NTPC,4479.0,2004-11-05,2022-12-23,182.8000030517578,31.214720424523826,164.10000610351562
OBEROIRLTY,3004.0,2010-10-20,2022-12-23,1088.4000244140625,147.98180392946978,835.4000244140625
OFSS,5094.0,2002-06-28,2022-12-23,4865.433501600426,133.0175707318726,2983.35009765625
OIL,3266.0,2009-09-30,2022-12-23,291.5158801813,57.088974578464246,197.8000030517578
ONGC,6733.0,1996-03-18,2022-12-23,209.61739490731952,3.6081200640914943,140.25
PAGEIND,3891.0,2007-03-16,2022-12-23,54180.13192828218,0.0094188320221954,43091.6484375
PERSISTENT,3143.0,2010-04-06,2022-12-23,4946.729364882455,120.87382880114929,3798.64990234375
PETRONET,4639.0,2004-03-26,2022-12-23,253.00710627917127,4.742512171796496,208.5500030517578
PFC,3906.0,2007-02-23,2022-12-23,147.8000030517578,21.381131716923303,133.25
PGHH,5738.0,2000-01-03,2022-12-23,16314.612253609464,142.60187426308002,13880.75
PIDILITIND,5743.0,2000-01-03,2022-12-23,2916.85009765625,5.682856605833312,2508.949951171875
PIIND,5701.0,2000-03-01,2022-12-23,3698.5,0.0097025852218112,3470.89990234375
PNB,5138.0,2002-04-29,2022-12-23,240.3231786449477,5.014210149212406,51.20000076293945
POWERGRID,3752.0,2007-10-05,2022-12-23,240.09163212741555,36.699189069607485,211.0
RAMCOCEM,5080.0,2002-07-01,2022-12-23,1126.4399950575314,11.964611017092,683.4000244140625
RECLTD,3643.0,2008-03-12,2022-12-23,153.0580505049702,13.62333409925901,109.75
RELIANCE,6913.0,1995-07-10,2022-12-23,2846.427844715438,9.662959842972825,2549.300048828125
SAIL,6913.0,1995-05-11,2022-12-23,210.6372345470137,2.546397703597015,76.05000305175781
SBILIFE,1292.0,2017-10-04,2022-12-23,1339.550048828125,483.10812488659406,1229.800048828125
SBIN,6913.0,1995-05-11,2022-12-23,629.6500244140625,9.677030310269636,578.5999755859375
SHREECEM,5212.0,2002-01-15,2022-12-23,31853.315675837748,0.0097158538492717,23344.400390625
SIEMENS,7144.0,1991-01-04,2022-12-23,3136.800048828125,9.54455280303955,2799.39990234375
SRF,5667.0,2000-01-17,2022-12-23,11369.87997416789,11.1032847597484,2280.85009765625
SUNPHARMA,6934.0,1994-12-26,2022-12-23,1139.4187633864344,1.1674257814296554,1010.0
SUNTV,4115.0,2006-04-24,2022-12-23,946.3055671905312,85.94485315914494,490.2999877929688
SYNGENE,1820.0,2015-08-11,2022-12-23,699.3268003559448,146.22168533525144,571.5999755859375
TATACHEM,7132.0,1991-01-08,2022-12-23,1214.6500244140625,13.15803337097168,905.0
TATACOMM,5468.0,2000-10-27,2022-12-23,1555.6674012560532,51.50617252822278,1200.199951171875
TATAMOTORS,7145.0,1991-01-04,2022-12-23,605.3246597243698,8.975902686894338,382.0
TATAPOWER,6836.0,1995-07-12,2022-12-23,295.63438534971726,2.8039393783485864,201.3999938964844
TATASTEEL,7140.0,1991-01-04,2022-12-23,1445.6106707514,33.51285536698794,103.8499984741211
TCS,5213.0,2002-01-14,2022-12-23,3990.488445040353,21.7762168157675,3232.0
TECHM,4027.0,2006-08-28,2022-12-23,1780.4555964038495,40.54365602008891,1001.2000122070312
TIINDIA,1272.0,2017-11-02,2022-12-23,3046.25,205.6326973952816,2835.64990234375
TITAN,6913.0,1995-05-11,2022-12-23,2790.0,0.9927350206270872,2477.89990234375
TORNTPHARM,6941.0,1995-05-11,2022-12-23,3280.2682252115032,6.021366181580917,1565.050048828125
TORNTPOWER,5632.0,2000-01-03,2022-12-23,609.9000244140625,18.930673599243164,485.2000122070313
TRENT,5676.0,2000-01-03,2022-12-23,1571.0,3.985906933388257,1310.0
TRIDENT,5521.0,2000-11-08,2022-12-23,70.23008042963662,0.2038504123594862,31.25
TTML,5530.0,2000-10-26,2022-12-23,291.04998779296875,0.0095690004527568,82.9000015258789
TVSMOTOR,5608.0,2000-07-10,2022-12-23,1177.0,2.3653409355791064,1006.5499877929688
UBL,4985.0,2002-10-23,2022-12-23,1805.0,0.0097692843270702,1683.199951171875
ULTRACEMCO,5743.0,2000-01-03,2022-12-23,8219.821585877939,0.0097323673609816,6924.85009765625
UNIONBANK,5032.0,2002-09-24,2022-12-23,335.12709063115005,7.964158065368792,72.75
UPL,6686.0,1996-05-14,2022-12-23,842.5820272274722,0.7839218264342139,713.0499877929688
VBL,1517.0,2016-11-08,2022-12-23,1432.050048828125,223.6816328731367,1331.0
VEDL,7889.0,1991-01-08,2022-12-23,354.5673879743304,0.3213478922843933,291.6000061035156
VOLTAS,5064.0,2002-07-01,2022-12-23,1349.3720049790422,0.0093817994641222,785.7000122070312
WHIRLPOOL,5673.0,2000-01-25,2022-12-23,2761.614659335861,10.73649501800537,1476.5
WIPRO,7488.0,1991-01-28,2022-12-23,732.4986702251697,0.2697110474109649,380.0499877929688
YESBANK,4306.0,2005-07-12,2022-12-23,393.2016981364092,5.550000190734863,18.200000762939453
ZEEL,5686.0,2000-01-03,2022-12-23,596.3913366119974,0.0094332910384792,240.0500030517578
